Student id,Career,Faculty Group,Gender
1,Graduate,THL,Male
2,Graduate,THL,Female
3,Graduate,THL,Male
4,Graduate,THL,Female
5,Graduate,THL,Male
6,Graduate,THL,Female
7,Graduate,AHS,Male
8,Graduate,AHS,Female
9,Graduate,AHS,Female
10,Graduate,AHS,Female
11,Graduate,AHS,Female
12,Graduate,AHS,Male
13,Graduate,AHS,Female
14,Graduate,AHS,Female
15,Graduate,AHS,Male
16,Graduate,AHS,Female
17,Graduate,AHS,Male
18,Graduate,AHS,Female
19,Graduate,AHS,Female
20,Graduate,AHS,Male
21,Graduate,AHS,Female
22,Graduate,AHS,Female
23,Graduate,AHS,Male
24,Graduate,AHS,Female
25,Graduate,AHS,Female
26,Graduate,AHS,Female
27,Graduate,AHS,Male
28,Graduate,AHS,Female
29,Graduate,ARTS,Male
30,Graduate,ARTS,Male
31,Graduate,ARTS,Male
32,Graduate,ARTS,Male
33,Graduate,ARTS,Female
34,Graduate,ARTS,Male
35,Graduate,ARTS,Female
36,Graduate,ARTS,Male
37,Graduate,ARTS,Female
38,Graduate,ARTS,Male
39,Graduate,ARTS,Female
40,Graduate,ARTS,Male
41,Graduate,ARTS,Female
42,Graduate,ARTS,Female
43,Graduate,ARTS,Male
44,Graduate,ARTS,Female
45,Graduate,ARTS,Male
46,Graduate,ARTS,Female
47,Graduate,ARTS,Male
48,Graduate,ARTS,Female
49,Graduate,ARTS,Male
50,Graduate,ARTS,Female
51,Graduate,ARTS,Male
52,Graduate,ARTS,Male
53,Graduate,ARTS,Female
54,Graduate,ARTS,Male
55,Graduate,ARTS,Female
56,Graduate,ARTS,Male
57,Graduate,ARTS,Female
58,Graduate,ARTS,Female
59,Graduate,ARTS,Female
60,Graduate,ARTS,Male
61,Graduate,ARTS,Female
62,Graduate,ARTS,Female
63,Graduate,ARTS,Male
64,Graduate,ARTS,Female
65,Graduate,ARTS,Female
66,Graduate,ARTS,Male
67,Graduate,ARTS,Female
68,Graduate,ARTS,Male
69,Graduate,ARTS,Male
70,Graduate,ARTS,Male
71,Graduate,ARTS,Female
